Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Vehicle,1,1,646,300.83979342658995,,,
Vehicle,1,2,560,261.45059445925364,,,
Vehicle,1,3,586,204.6847638243476,,,
Vehicle,1,4,546,240.3511539885183,,,
Vehicle,1,5,421,197.30295800946234,,,
Vehicle,1,6,108,51.303769280383165,,,
Depot,1,,2425,,1023.6928117837788,2.1326933578828724,170.6154686306298
Vehicle,2,1,693,425.90286630765274,,,
Vehicle,2,2,715,345.07242939710113,,,
Vehicle,2,3,243,87.73069867768322,,,
Vehicle,2,4,59,4.3889448568036356,,,
Vehicle,2,5,81,12.401540160189734,,,
Vehicle,2,6,60,5.466821640831801,,,
Depot,2,,1357,,739.8829103068803,1.5414227298060006,123.31381838448004
Vehicle,3,1,381,128.13077550414687,,,
Vehicle,3,2,467,121.32403020640525,,,
Vehicle,3,3,295,76.0074363918684,,,
Vehicle,3,4,59,9.756750005794865,,,
Vehicle,3,5,46,5.918386735633187,,,
Vehicle,3,6,41,3.462235156764714,,,
Depot,3,,1052,,306.8168930824238,0.6392018605883829,51.13614884707063
Vehicle,4,1,398,29.15158169783862,,,
Vehicle,4,2,503,44.35159349124247,,,
Vehicle,4,3,392,50.61109319792523,,,
Vehicle,4,4,431,152.86407664784764,,,
Vehicle,4,5,27,2.2558633254347935,,,
Vehicle,4,6,30,2.5648058394811457,,,
Depot,4,,1516,,258.0033172028985,0.5375069108393717,43.00055286714974
Vehicle,5,1,458,261.7227828230226,,,
Vehicle,5,2,500,214.09707333731322,,,
Vehicle,5,3,452,197.78051340303114,,,
Vehicle,5,4,72,40.05264940712937,,,
Vehicle,5,5,27,16.321967052113457,,,
Vehicle,5,6,37,21.98563537477828,,,
Depot,5,,1248,,571.9043543004474,1.1914674047925986,95.3173923834079
Vehicle,6,1,484,198.47991889698142,,,
Vehicle,6,2,457,146.8469851516105,,,
Vehicle,6,3,212,67.13849150924209,,,
Vehicle,6,4,63,17.772867215433553,,,
Vehicle,6,5,56,8.814334541520068,,,
Vehicle,6,6,66,16.33631382704102,,,
Depot,6,,998,,367.66741714479394,0.7659737857183206,61.27790285746566
Vehicle,7,1,403,133.8382449443123,,,
Vehicle,7,2,473,95.81282475145281,,,
Vehicle,7,3,250,89.16614649706442,,,
Vehicle,7,4,1,0.19700784036597624,,,
Vehicle,7,5,1,0.19700784036597624,,,
Vehicle,7,6,1,0.19700784036597624,,,
Depot,7,,1014,,277.6534653498019,0.5784447194787539,46.27557755830031
