Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Depot,18,,290,,122.21523383121834,0.25461507048170484,20.36920563853639
Vehicle,19,1,242,124.35849268732639,,,
Vehicle,19,2,287,156.82867394625038,,,
Vehicle,19,3,304,132.17909118740755,,,
Vehicle,19,4,290,122.10098626348716,,,
Vehicle,19,5,319,90.81343211863543,,,
Vehicle,19,6,307,133.0921621920814,,,
Depot,19,,1412,,548.317035483774,1.1423271572578626,91.38617258062901
Vehicle,20,1,327,185.02730859361318,,,
Vehicle,20,2,313,203.2816243708003,,,
Vehicle,20,3,280,146.75028873443958,,,
Vehicle,20,4,321,174.9684621753399,,,
Vehicle,20,5,306,176.83327644511533,,,
Vehicle,20,6,222,63.52815128035328,,,
Depot,20,,1493,,765.0056441415365,1.5937617586282011,127.50094069025609
Vehicle,21,1,264,120.3657583076297,,,
Vehicle,21,2,285,140.26111533445754,,,
Vehicle,21,3,305,91.93170028774496,,,
Vehicle,21,4,289,122.41463273751796,,,
Vehicle,21,5,318,94.41079639969757,,,
Vehicle,21,6,316,99.74288860526347,,,
Depot,21,,1268,,477.5198640324677,0.9948330500676411,79.58664400541129
Vehicle,22,1,322,157.3917990477168,,,
Vehicle,22,2,339,129.58752976357178,,,
Vehicle,22,3,312,109.86534013354895,,,
Vehicle,22,4,328,92.92027550121966,,,
Vehicle,22,5,267,102.61996001122985,,,
Vehicle,22,6,257,105.233007104006,,,
Depot,22,,1297,,471.9428982916352,0.9832143714409065,78.65714971527252
Vehicle,23,1,348,136.60433572009524,,,
Vehicle,23,2,320,118.24399317798427,,,
Vehicle,23,3,401,141.21508595565376,,,
Vehicle,23,4,447,207.9788452452694,,,
Vehicle,23,5,384,187.77235055511147,,,
Vehicle,23,6,329,99.33059848309294,,,
Depot,23,,1534,,607.0920289074165,1.2647750602237844,101.18200481790275
Vehicle,24,1,262,92.59007679702785,,,
Vehicle,24,2,294,76.35683368542455,,,
Vehicle,24,3,29,5.875952239184324,,,
Vehicle,24,4,49,23.999803291595384,,,
Vehicle,24,5,47,13.946851103479666,,,
Vehicle,24,6,34,13.472747499454908,,,
Depot,24,,483,,148.91448235505135,0.31023850490635696,24.81908039250856
Vehicle,25,1,251,101.87390650599121,,,
Vehicle,25,2,363,108.5504721377039,,,
Vehicle,25,3,263,96.91616444497284,,,
Vehicle,25,4,92,31.90634089263601,,,
Vehicle,25,5,75,25.03176329036397,,,
Vehicle,25,6,22,10.042264446291792,,,
Depot,25,,805,,256.39247186972676,0.5341509830619308,42.73207864495446
Vehicle,26,1,282,121.8380081118851,,,
Vehicle,26,2,277,51.2216506670814,,,
Vehicle,26,3,291,87.13946349883976,,,
Vehicle,26,4,45,5.377024156534528,,,
Vehicle,26,5,66,7.111211249750699,,,
Vehicle,26,6,66,8.182636877806972,,,
Depot,26,,756,,245.1596192777876,0.5107492068287243,40.85993654629793
Vehicle,27,1,55,11.00518481503392,,,
Vehicle,27,2,13,3.112971485214594,,,
Vehicle,27,3,12,2.193841875252837,,,
Vehicle,27,4,10,0.6443891462107901,,,
Vehicle,27,5,16,4.5034384575574995,,,
Vehicle,27,6,10,0.6443891462107901,,,
Depot,27,,59,,12.451787170839888,0.025941223272583098,2.0752978618066478
Vehicle,28,1,38,6.313859856265715,,,
Vehicle,28,2,53,22.331340967349544,,,
Vehicle,28,3,39,6.713004888608925,,,
Vehicle,28,4,48,14.322249840378007,,,
Vehicle,28,5,49,17.845709711510942,,,
Vehicle,28,6,55,24.409772685488946,,,
Depot,28,,64,,36.578038161722716,0.07620424617025566,6.096339693620453
Vehicle,29,1,84,45.43803170694747,,,
Vehicle,29,2,97,58.65408266321962,,,
Vehicle,29,3,90,51.238852762823285,,,
Vehicle,29,4,83,47.85495624006101,,,
Vehicle,29,5,118,80.11096736692699,,,
Vehicle,29,6,87,46.350186000920516,,,
Depot,29,,131,,84.19350843020626,0.17540314256292971,14.032251405034376
Vehicle,30,1,335,150.85982785270656,,,
Vehicle,30,2,333,132.48215096930517,,,
Vehicle,30,3,362,169.77061646648434,,,
Vehicle,30,4,392,187.1250220673058,,,
Vehicle,30,5,571,211.80293485651802,,,
Vehicle,30,6,394,141.81599086001353,,,
Depot,30,,1936,,752.693912151942,1.5681123169832125,125.44898535865698
Vehicle,31,1,339,129.02828273994018,,,
Vehicle,31,2,363,159.84983548725657,,,
Vehicle,31,3,72,38.11173242217745,,,
Vehicle,31,4,52,18.370745593912005,,,
Vehicle,31,5,49,15.323359673639427,,,
Vehicle,31,6,35,11.320641244379031,,,
Depot,31,,693,,283.15693351487323,0.5899102781559858,47.19282225247886
Vehicle,32,1,300,77.82187185817213,,,
Vehicle,32,2,377,65.05739680425592,,,
Vehicle,32,3,350,98.57826853647832,,,
Vehicle,32,4,332,110.89355598688255,,,
Vehicle,32,5,72,18.79587964032489,,,
Vehicle,32,6,60,13.148557899961093,,,
Depot,32,,1167,,296.66331417028744,0.6180485711880987,49.44388569504791
Vehicle,33,1,271,64.89058876914527,,,
Vehicle,33,2,423,77.08494503158494,,,
Vehicle,33,3,356,77.61248411893348,,,
Vehicle,33,4,338,102.64853283213861,,,
Vehicle,33,5,275,81.87675137946333,,,
Vehicle,33,6,92,22.91740420993572,,,
Depot,33,,1335,,310.24643800914856,0.6463467458523928,51.70773966819143
Vehicle,34,1,333,102.93126960428664,,,
Vehicle,34,2,50,21.862057057108437,,,
Vehicle,34,3,12,4.8426775410174905,,,
Vehicle,34,4,6,0.5142384517496483,,,
Vehicle,34,5,5,0.4659493520132895,,,
Vehicle,34,6,6,0.5142384517496483,,,
Depot,34,,360,,117.70493342290615,0.24521861129772113,19.61748890381769
Vehicle,35,1,357,171.2168934688521,,,
Vehicle,35,2,356,130.76884506556462,,,
Vehicle,35,3,261,68.22524370384116,,,
Vehicle,35,4,47,19.35556285902128,,,
Vehicle,35,5,64,19.847965086602443,,,
Vehicle,35,6,39,8.952943337197382,,,
Depot,35,,836,,316.7193237355359,0.6598319244490332,52.786553955922656
Vehicle,36,1,294,130.9036690366991,,,
Vehicle,36,2,293,103.32335033687016,,,
Vehicle,36,3,26,20.88681682405498,,,
Vehicle,36,4,22,17.93035999903337,,,
Vehicle,36,5,22,17.93035999903337,,,
Vehicle,36,6,32,17.12733341244763,,,
Depot,36,,564,,217.79412721161736,0.4537377650242028,36.29902120193623
Vehicle,37,1,362,170.53087012312773,,,
Vehicle,37,2,363,184.27152656113935,,,
Vehicle,37,3,288,112.81613970885364,,,
Vehicle,37,4,289,151.24473359630053,,,
Vehicle,37,5,377,144.96606549632537,,,
Vehicle,37,6,304,115.61435879685617,,,
Depot,37,,1593,,654.3238461953628,1.3631746795736723,109.0539743658938
Vehicle,38,1,424,265.07905191706783,,,
Vehicle,38,2,367,240.13217671521087,,,
Vehicle,38,3,354,152.83414472213906,,,
Vehicle,38,4,412,227.51423205357779,,,
Vehicle,38,5,388,150.14942955918772,,,
Vehicle,38,6,452,247.5831965620575,,,
Depot,38,,1770,,949.7927352873926,1.978734865182068,158.29878921456546
Vehicle,39,1,185,31.70022250036588,,,
Vehicle,39,2,234,100.94068301653058,,,
Vehicle,39,3,277,91.59149244800298,,,
Vehicle,39,4,239,41.423639981555816,,,
Vehicle,39,5,268,66.93336426426309,,,
Vehicle,39,6,101,22.95976512302184,,,
Depot,39,,1044,,305.0294071925389,0.6354779316511227,50.838234532089814
Vehicle,40,1,192,19.179258611656365,,,
Vehicle,40,2,267,17.10423865974707,,,
Vehicle,40,3,308,21.005131075923142,,,
Vehicle,40,4,222,26.815253503538013,,,
Vehicle,40,5,237,33.11959869872394,,,
Vehicle,40,6,223,26.82636070430654,,,
Depot,40,,1139,,111.29922513010042,0.23187338568770924,18.54987085501674
Vehicle,41,1,195,109.59594200663888,,,
Vehicle,41,2,296,173.39461136731177,,,
Vehicle,41,3,311,178.4237040195545,,,
Vehicle,41,4,301,143.55437644732834,,,
Vehicle,41,5,295,158.58978078177003,,,
Vehicle,41,6,346,205.9102665663906,,,
Depot,41,,1285,,659.7566020098525,1.3744929208538594,109.95943366830876
Vehicle,42,1,253,104.8485238961594,,,
Vehicle,42,2,257,103.33367903875975,,,
